User,Player
Brock,Dustin Johnson
Lucas,Jon Rahm
Brady,Justin Thomas
Scott,Jordan Spieth
David,Bryson DeChambeau
Sohale,Xander Schauffele
Tom,Rory McIlroy
Jamil,Brooks Koepka
Jamil,Patrick Reed
Tom,Cameron Smith
Sohale,Daniel Berger
David,Patrick Cantlay
Scott,Collin Morikawa
Brady,Matthew Fitzpatrick
Lucas,Webb Simpson
Brock,Viktor Hovland
Brock,Matthew Wolff
Lucas,Tony Finau
Brady,Sungjae Im
Scott,Joaquin Niemann
David,Scottie Scheffler
Sohale,Hideki Matsuyama
Tom,Sergio Garcia
Jamil,Lee Westwood
Jamil,Paul Casey
Tom,Tommy Fleetwood
Sohale,Tyrrell Hatton
David,Jason Day
Scott,Louis Oosthuizen
Brady,Will Zalatoris
Lucas,Adam Scott
Brock,Gary Woodland
Brock,Corey Conners
Lucas,Abraham Ancer
Brady,Si Woo Kim
Scott,Matt Kuchar
David,Max Homa
Sohale,Harris English
Tom,Shane Lowry
Jamil,Bubba Watson
Jamil,Billy Horschel
Tom,Marc Leishman
Sohale,Carlos Ortiz
David,Dylan Frittelli
Scott,Matt Wallace
Brady,Ryan Palmer
Lucas,Justin Rose
Brock,Mackenzie Hughes
